release_date_raw,time,actual,forecast,previous
"Jan 01, 2007 (Dec)",4:00,51.4,,50.8
"Dec 01, 2006 (Nov)",4:00,50.8,,54.1
"Nov 01, 2006 (Oct)",4:00,54.1,,54.8
"Oct 01, 2006 (Sep)",5:00,54.8,,55.3
"Sep 01, 2006 (Aug)",5:00,55.3,,55.8
"Aug 01, 2006 (Jul)",5:00,55.8,,55
"Jul 01, 2006 (Jun)",5:00,55,,54.9
"Jun 01, 2006 (May)",5:00,54.9,,55.7
"May 01, 2006 (Apr)",5:00,55.7,,57
"Apr 01, 2006 (Mar)",4:00,57,,61
"Mar 01, 2006 (Feb)",4:00,61,,58.9
"Feb 01, 2006 (Jan)",4:00,58.9,,60.1
"Jan 01, 2006 (Dec)",4:00,60.1,,61.2
"Dec 01, 2005 (Nov)",4:00,61.2,,61.4
"Nov 01, 2005 (Oct)",4:00,61.4,,60.9
"Oct 01, 2005 (Sep)",5:00,60.9,,57.8
"Sep 01, 2005 (Aug)",5:00,57.8,,57.2
"Aug 01, 2005 (Jul)",5:00,57.2,,55.7
"Jul 01, 2005 (Jun)",5:00,55.7,,51.8
"Jun 01, 2005 (May)",5:00,51.8,,53.4
"May 01, 2005 (Apr)",5:00,53.4,,57.7
"Apr 01, 2005 (Mar)",4:00,57.7,,55.9
"Mar 01, 2005 (Feb)",4:00,55.9,,57.9
"Feb 01, 2005 (Jan)",4:00,57.9,,66.3
"Jan 01, 2005 (Dec)",4:00,66.3,,60.1
"Dec 01, 2004 (Nov)",4:00,60.1,,58.4
"Nov 01, 2004 (Oct)",4:00,58.4,,57.7
"Oct 01, 2004 (Sep)",5:00,57.7,,62.1
"Sep 01, 2004 (Aug)",5:00,62.1,,62.8
"Aug 01, 2004 (Jul)",5:00,62.8,,60.9
"Jul 01, 2004 (Jun)",5:00,60.9,,64.5
"Jun 01, 2004 (May)",5:00,64.5,,67.1
"May 01, 2004 (Apr)",5:00,67.1,,64.6
"Apr 01, 2004 (Mar)",4:00,64.6,,66.5
"Mar 01, 2004 (Feb)",4:00,66.5,,70.6
